product_name,rank_by_model_score,user_id,official_influencer,followers,engagement_comments_plus_reposts,people_who_engaged,pagerank_centrality,model_score,is_in_top20pct_engagement
electric_toothbrush,1,185,0,16155400,5988,3497,0.012578241852601623,0.9999999999993159,1
electric_toothbrush,2,148762,1,2187839,6344,2481,0.009232487911024599,0.9999999999984006,1
electric_toothbrush,3,147719,0,3851880,5633,2564,0.011750521466886987,0.9999999999975047,1
electric_toothbrush,4,67092,1,2453462,7611,2801,0.01909251000067479,0.9999999999865095,1
electric_toothbrush,5,75497,1,1186069,8615,1910,0.012698498449228173,0.9999999999859082,1
electric_toothbrush,6,148770,0,1938701,3398,1421,0.006996257696196262,0.9999999999844964,1
electric_toothbrush,7,150218,0,152133,7442,2196,0.011789620135073538,0.999999999983826,1
electric_toothbrush,8,146932,0,2647287,5327,1498,0.009198760335418067,0.9999999999827978,1
electric_toothbrush,9,79275,0,2992284,3576,2405,0.018780393245702805,0.999999999980421,1
electric_toothbrush,10,76439,0,3585596,3726,2288,0.016936063868093022,0.9999999999771152,1
electric_toothbrush,11,146931,0,5973577,6773,1032,0.005524765228996353,0.9999999999673068,1
electric_toothbrush,12,70148,1,1764111,6540,4688,0.032477858896609715,0.9999999999556484,1
electric_toothbrush,13,146880,1,6697975,7981,1029,0.006307102755061665,0.9999999999487597,1
electric_toothbrush,14,75477,0,1807625,1854,965,0.004523657256632226,0.9999999999462756,1
electric_toothbrush,15,75488,0,1082821,2050,1124,0.009366829999820175,0.9999999999361504,1
electric_toothbrush,16,75479,0,775982,1671,1005,0.00737519147710223,0.9999999999149758,1
electric_toothbrush,17,128914,0,1313363,3810,2199,0.021221835370564456,0.9999999998897995,1
electric_toothbrush,18,136519,1,3161603,2262,816,0.007140686896469015,0.9999999998460078,1
electric_toothbrush,19,75474,0,1664989,2450,724,0.0053920012945668574,0.9999999997560429,1
electric_toothbrush,20,148738,0,1643172,3769,737,0.006285265053143443,0.9999999996637947,1
electric_toothbrush,21,133048,0,1707229,1762,1231,0.017756663640554053,0.9999999995001796,1
electric_toothbrush,22,69554,0,1095857,785,629,0.007703526084808775,0.9999999992380211,1
electric_toothbrush,23,132863,0,2701655,5061,732,0.010085332049491058,0.9999999991024455,1
electric_toothbrush,24,140435,0,1021713,2995,552,0.00580208088633122,0.9999999990303201,1
electric_toothbrush,25,132498,0,1129590,1769,618,0.006478099394554082,0.9999999989073167,1
electric_toothbrush,26,136951,0,9192817,980,507,0.0031030089851357525,0.9999999988925512,1
electric_toothbrush,27,132945,1,2250166,1201,714,0.010132395954006897,0.999999998551546,1
electric_toothbrush,28,133548,0,3121074,1151,846,0.01388079498368309,0.9999999983257462,1
electric_toothbrush,29,75489,0,1458098,815,433,0.0032985062848926465,0.9999999981882586,1
electric_toothbrush,30,75487,0,776929,577,428,0.0051433352938337435,0.9999999964484128,1
electric_toothbrush,31,75480,0,3937367,2742,363,0.0036608076038574413,0.9999999933014683,1
electric_toothbrush,32,138059,0,1169585,1012,306,0.0027768089901507834,0.9999999913428034,1
electric_toothbrush,33,140534,0,2796886,413,326,0.004419874336640599,0.9999999833758744,1
electric_toothbrush,34,140320,0,198455,641,441,0.010712559799715827,0.9999999807088887,1
electric_toothbrush,35,139659,1,497919,888,335,0.006605457025970813,0.9999999793167698,1
electric_toothbrush,36,72512,0,418,345,218,0.0012901656335858828,0.9999999704140652,1
electric_toothbrush,37,66834,0,2760,713,215,0.0018227094307391822,0.9999999587846796,1
electric_toothbrush,38,66820,0,745,862,190,0.002381141566276734,0.9999999548156466,1
electric_toothbrush,39,66835,0,263,827,175,0.0007645529963103643,0.9999999542465791,1
electric_toothbrush,40,146464,0,2124638,2345,233,0.00383958561767643,0.9999999520581754,1
electric_toothbrush,41,156296,0,153238,780,499,0.01633490951015038,0.9999999386047842,1
electric_toothbrush,42,66819,0,815,1097,171,0.001264770123468382,0.9999999382602522,1
electric_toothbrush,43,150773,0,259130,560,202,0.0021584608870737097,0.9999999210879713,1
electric_toothbrush,44,136813,0,1048,545,170,0.0014161201813091392,0.9999999158551856,1
electric_toothbrush,45,123881,0,2974,233,134,0.0006082881789977148,0.9999999106965871,1
electric_toothbrush,46,79288,0,3957652,12276,9527,0.074523852031504,0.9999999065873507,1
electric_toothbrush,47,81712,0,595389,353,168,0.002780818683335295,0.9999998812476526,1
electric_toothbrush,48,72677,0,709194,508,169,0.0021500025600343065,0.9999998065348484,1
electric_toothbrush,49,136532,0,101,358,139,0.0006864088986410895,0.9999997426531347,1
electric_toothbrush,50,136823,0,150,170,123,0.0006415641531073305,0.9999996586693177,1
